Chilled beam,AHU,Passivent,Window,Electrical socket,Lighting hardware,Walls/ceiling,Lighting controls,Exterior doors,Lift,Tap,Interior doors,Data outlet,Client brief,Specification,System Design,Value Engineering,Component Design ,Contractor Substitution,Construction Quality,Commissioning,Component Failure,Training,Documentation,Client Decision
0,0,0,0,0,0,0,0,0,0,0,0,0,672,0,672,112,0,0,224,224,336,448,0,112
0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,220,0,0,0,0,1320,440,220,220,0
0,0,0,0,0,0,0,0,0,0,0,0,0,143,0,143,0,143,143,286,715,429,143,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,30,0,0,30,60,30,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,37,37,0,0,0,0,74,0,0,0,0,37
0,0,0,0,0,0,0,0,0,0,0,0,0,161,161,0,0,161,0,644,483,322,161,161,161
0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,30,0,0,30,60,30,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,226,0,226,0,0,0,0,113,0,113,0,113
0,0,0,0,0,0,0,0,0,0,0,0,0,111,111,0,37,0,0,0,0,37,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,0,0,0,0,0,0,19,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,140,140,70,70,0,0,70,0,70,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,0,0,0,26,0,0,0,0,0,0
672,0,143,0,37,161,0,226,111,19,0,140,26,0,0,0,0,0,0,0,0,0,0,0,0
0,220,0,60,37,161,0,0,111,19,0,140,26,0,0,0,0,0,0,0,0,0,0,0,0
672,220,143,30,0,0,300,226,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0
112,0,0,0,0,0,100,0,37,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,143,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,143,30,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0
224,0,286,60,74,644,400,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0
224,1320,715,30,0,483,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
336,440,429,0,0,322,0,0,37,19,38,70,0,0,0,0,0,0,0,0,0,0,0,0,0
448,220,143,0,0,161,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,220,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,0,0,0,37,161,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
